point,alpha,beta_over_H,vtrue_over_Tc,MHc,Tc
442614,0.188768100199,190.112409562,2.6837158872,428.499599332,81.5094677116
442736,0.123519872203,215.514720012,2.83088166836,119.0590909,78.1880054052
447124,0.365622602396,227.217718454,2.73606983923,113.139694933,81.3248515462
447584,0.22007319886,178.856393047,2.66769369726,113.111133789,83.1272941455
447874,0.258559468649,231.349812511,2.63778174522,110.689041055,83.1958504123
448834,0.19661919577,213.949885022,2.6524744898,120.341647675,82.6823021464
449062,0.374249727516,295.022049978,2.69878742686,406.273657483,82.3077143498
450063,0.147026098053,211.406649183,2.62602100967,122.653889026,84.0352207382
451643,0.484364901979,103.716485761,2.67364507251,408.794863481,82.2330780371
454532,0.230639976179,169.636762964,2.6584531186,398.440739109,83.2141199088
454877,0.147063754189,262.615021411,2.64585373531,417.38476485,82.363012524
455933,0.155139361619,253.501148073,2.67037983766,425.988277403,82.4004213386
457921,0.0672576227811,175.157416455,2.14083742725,377.004496595,91.6229632955
465110,0.232284178111,150.738802131,2.73440264084,413.450007536,79.3629954069
467362,0.355801462513,51.8485644655,2.76201670121,433.319905189,80.665315547
470344,0.326639831592,24.8681226754,2.80894302534,116.51654508,78.7510398788
471591,0.269945657094,104.616790312,2.66890728578,107.075087834,83.2719602828
471589,0.090810281385,262.678884897,2.43590783876,405.756938163,85.6478768863
472587,0.151591905941,260.675951874,2.55939614975,124.406896907,84.8297007384
474175,0.149315149568,122.891227358,2.67497670895,391.529904449,82.4725197432
475985,0.122822908241,247.360422058,2.55477559725,405.947687421,85.0330635652
476198,0.1335922925,223.434669516,2.53723486325,109.548305698,85.0341632145
478223,0.371865316598,156.575178697,2.75944920921,418.996524209,80.8858011126
478577,0.284854597963,148.242327451,2.67520919915,404.056685646,82.235317719
478600,0.160144298329,242.782743506,2.69246103419,416.144370691,81.2431135373
478684,0.174630986104,217.18028957,2.61128724301,118.735754361,84.1189321571
478903,0.123979601264,279.703942246,2.5893113071,116.392113006,82.792914669
480071,0.133899368768,173.700650141,2.46045901881,401.680641655,85.9212042144
480532,0.150653987539,244.680510673,2.60337425327,426.294932389,81.9064931332
480762,0.123014115164,267.800624679,2.62820844857,405.966574349,82.3624861742
481528,0.183178138737,206.020091748,2.67917794281,424.027641211,82.5680840793
486130,0.0505045451659,193.407453217,2.05095404011,428.875392503,133.373631157
486456,0.128927267397,289.690158595,2.57216158936,393.599652647,84.1323893179
487885,0.353543117906,190.380073943,2.72409257993,415.315240743,81.9572090241
492924,0.170180818236,289.198333563,2.66965609536,400.487355041,82.493174019
493532,0.24072711176,155.068357959,2.76148234612,425.118806447,79.7697079047
493609,0.11932973279,173.974716093,2.4897025865,412.713567024,83.792525617
494262,0.167622968438,237.729949213,2.71860187226,428.438035639,81.0328115842
499938,0.261957560417,124.015947779,2.76093695194,438.771780295,80.5829746766
500257,0.143302536283,284.017465248,2.74898456348,440.058392762,77.5239407071
500565,0.153504414657,198.224572382,2.60080670199,113.71002363,84.5334328471
502463,0.142651031666,240.368043577,2.58951835423,112.166117514,84.931881895
502614,0.286731787141,140.335863147,2.88180431385,456.299934534,74.444011787
504005,0.155904628249,251.368514388,2.68478378831,439.542752982,82.0862701488
504301,0.334632871555,117.86781172,2.95355466989,407.796044379,69.4011500173
504539,0.178411134293,252.079083606,2.84210186622,418.880514351,77.6283517679
505429,0.293694642233,153.587992502,2.41664913575,388.515829781,86.0053948488
506364,0.318979390856,65.9177547631,2.7244256041,393.925615386,80.4706105704
510355,0.140920875513,284.703157369,2.56127327618,400.986738245,85.4119049253
511051,0.120620490184,210.948725989,2.53321237992,423.896682221,82.3920559258
512946,0.219958798043,187.796475972,2.4670600639,402.499465075,85.5952175841
513140,0.249702505915,195.739904031,3.28351314146,270.809410263,282.990777212
514022,0.127918132369,264.610210555,2.60431874559,428.636010915,80.7059277059
515673,0.174620319593,158.080876695,2.61390412594,123.268627143,81.6227122894
517305,0.135292109928,297.707765605,2.70678243896,106.374989069,82.2178851142
519985,0.255647072088,74.7552940799,2.66520152624,415.606601265,82.5185444608
519998,0.122744123266,296.443669691,2.54573542998,106.452233367,85.283747789
521688,0.254543495822,78.8009522698,2.70597820237,420.255383908,82.1516073143
522621,0.13181835096,282.266233285,2.63113610023,426.401937677,81.3517469027
523329,0.136184841355,259.157554087,2.64729536112,121.017787932,83.8178930507
525233,0.135337853812,244.152277794,2.6368499894,121.973793223,80.9283326085
525960,0.158891690686,218.642345115,2.66467499531,417.426069551,82.4865421445
529026,0.348180352176,179.216649311,2.71169426126,426.698745985,81.7028731629
532719,0.114283599724,79.3445138584,2.02569786891,430.258963161,112.461427213
535398,0.159070776719,247.456619871,2.60375473768,111.99066631,84.6899250548
535811,0.188588351463,244.368767275,2.53919168222,388.764273001,84.350884422
535921,0.210441089652,166.224995586,2.47477101008,399.364827116,84.7272136369
537949,0.19525359337,225.682119658,2.60062386283,408.374456624,83.9966822179
539971,0.190768754328,244.949084894,2.63522683973,402.282608809,83.4337256625
540750,0.193528794488,208.48408238,2.46887491912,394.352327558,85.6916952313
543772,0.172297319125,248.658892946,2.64731293404,121.60763445,82.2152500659
545266,0.191646976675,192.811900332,2.71253700981,429.03952157,81.3776788732
545927,0.372455684946,87.8360948644,2.87996379782,421.612920093,77.758477502
548168,0.205049782913,219.580202635,2.57810724074,105.629309145,81.0134426991
548338,0.158611569846,201.690783513,2.64078980277,420.943396756,82.6288930438
548484,0.205990511049,238.609269927,2.63779456818,112.957249198,84.0134622942
549771,0.134845330057,187.790279097,2.61935911292,115.660570071,84.4028591956
550466,0.102226744949,279.841072369,2.43639788163,110.420011597,87.0861521979
551112,0.330950706755,92.1217083311,2.97053220394,389.790931818,437.429785313
553138,0.19068282625,215.866454142,2.67377235254,419.732560856,82.5856029671
553187,0.173223747327,195.094960215,2.64348579531,417.738916967,82.6857410721
553250,0.267379297021,109.630099255,2.66029906705,113.927201596,83.2177163788
